FECHA NEGOCIACIÓN;TÍTULO;EMISOR;NÚMERO DE ACCIONES;V. NOM. UNITARIO;PRECIO;VALOR NOMINAL;VALOR EFECTO;CASA COMPRADORA;CASA VENDEDORA;BOLSA
24/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;6.00;1.000.00;1000.0000;6.000.00;6.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
24/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;3.00;1.000.00;1000.0000;3.000.00;3.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
24/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;21.870.00;1.00;2.7200;21.870.00;59.486.40;SANTA FE;VALUE;BVG
24/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;6.700.00;1.00;0.9700;6.700.00;6.499.00;MERCAPITAL;SILVERCROSS;BVG
24/01/2019;ACCIONES;BANCO PICHINCHA C.A.;5.00;100.00;100.0000;500.00;500.00;PLUSBURSÁTIL;METROVALORES;BVG
24/01/2019;ACCIONES;SURPAPELCORP S.A.;70.00;1.00;4.2500;70.00;297.50;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
24/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;1.00;1.000.00;1000.0000;1.000.00;1.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
24/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;2.00;1.000.00;1000.0000;2.000.00;2.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
24/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;10.00;1.000.00;1000.0000;10.000.00;10.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
24/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;1.00;1.000.00;1000.0000;1.000.00;1.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
24/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;1.00;1.000.00;1000.0000;1.000.00;1.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
25/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;674.00;1.00;0.9700;674.00;653.78;PLUSVALORES;SILVERCROSS;BVG
25/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;65.00;1.00;0.9700;65.00;63.05;PLUSVALORES;SILVERCROSS;BVG
25/01/2019;ACCIONES;BANCO PICHINCHA C.A.;40.00;100.00;99.0000;4.000.00;3.960.00;METROVALORES;SANTA FE;BVG
25/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;100.00;1.00;2.7000;100.00;270.00;PLUSBURSÁTIL;PLUSBURSÁTIL;BVG
28/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;3.00;1.000.00;1000.0000;3.000.00;3.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
28/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;9.00;1.000.00;1000.0000;9.000.00;9.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
28/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;2.00;1.000.00;1000.0000;2.000.00;2.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;20.00;3.00;70.0000;60.00;1.400.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;25.00;3.00;70.0000;75.00;1.750.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;20.00;3.00;70.0000;60.00;1.400.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;15.00;3.00;70.0000;45.00;1.050.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;15.00;3.00;70.0000;45.00;1.050.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;15.00;3.00;70.0000;45.00;1.050.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;15.00;3.00;70.0000;45.00;1.050.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;10.00;3.00;70.0000;30.00;700.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;10.00;3.00;70.0000;30.00;700.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;10.00;3.00;70.0000;30.00;700.00;BANRIO;VALUE;BVG
28/01/2019;ACCIONES;HOLCIM ECUADOR S.A.;10.00;3.00;70.0000;30.00;700.00;BANRIO;VALUE;BVG
